Text,Likes,Source,,,
عبو: الدفع في اتّجاه إرساء دولة محترمة تطبق قوانينها,113,Mosaique fm,,,
حمادي الجبالي: 'مع تنفيذ الإعدام في هذه الحالات,72,Mosaique fm,,,
سيف الدين مخلوف (ائتلاف الكرامة) ضيف ميدي شو,443,Mosaique fm,,,
المرزوقي: لدي مشاكل مع 4 دول.. والجهاز السري فزاعة لضرب الإسلاميين,426,Mosaique fm,,,
محامي القروي: طلبنا استئناف قرار الإيقاف ففوجئنا بنفس القضاة,788,Mosaique fm,,,
لقاء الرياحي في قناة الحوار: قرارٌ منتظر من الهايكا اليوم',240,Mosaique fm,,,
الهاشمي الحامدي: سأخفّض في أسعار البذور,192,Mosaique fm,,,
عبد الفتاح مورو يتعهد بتفعيل المشاريع المعطلة في القيروان,98,Shems Fm,,,
الهاشمي الحامدي يتعهد بإلغاء جواز السفر والحواجز الجمركية في اتجاه ليبيا لسكان الجنوب الشرقي,41,Shems Fm,,,
عبد الفتاح مورو يتعهد بتفعيل المشاريع المعطلة في القيروان,108,Shems Fm,,,
حمادي الجبالي: 'رئيس الجمهورية يجب عليه تشجيع التصدير,148,Shems Fm,,,
سعيد العايدي: 'لن أكون ساكن قرطاج بل ساكن جمهورية كاملة,145,Shems Fm,,,
سيف الدين مخلوف: 'من الضروري فتح مخابر ذكاء لفائدة الشباب في كل البلديات,457,Shems Fm,,,
محسن مرزوق يتعهد ببعث سوق اورومتوسطية للشغل,113,Shems Fm,,,
عبير موسي: 'سأعمل على إرساء دولة القانون والمؤسسات,833,Shems Fm,,,
إلياس الفخفاخ يتعهد بمواصلة تركيز مؤسسات الجمهورية الثانية,53,Shems Fm,,,
عبد الكريم الزبيدي: 'لدي برنامج لإعادة توزيع صلاحيات رئيس الجمهورية,186,Shems Fm,,,
لطفي المرايحي يؤكد ضرورة تطبيق القانون على الجميع دون تمييز,245,Shems Fm,,,
قيس سعيد: سأطرح وسائل قانونية جديدة تُمكّن المواطن من الارتقاء بمطالبه إلى مستوى القرار,1796,Shems Fm,,,
مهدي جمعة: لنا برنامج لإنقاذ البلاد وإعادة الأمل للتونسيين,167,Shems Fm,,,
عبيد البريكي: أول إجراء يقوم به الرئيس هو التخفيض في نفقات الدولة',128,Shems Fm,,,
سلمى اللومي: التنمية تتطلب دولة قوية يُطبق فيها القانون وتضمن العدالة,109,Shems Fm,,,
ناجي جلول: تونس في حاجة لرئيس نظيف ويعكس حضارتها وثقافتها,253,Shems Fm,,,
محمد عبّو: نحن بحاجة لدولة قوية تُطبق القانون على الجميع,207,Shems Fm,,,
سيف الدين مخلوف: 'يجب أن يغادر الجيش المناطق الجميلة والجزر والمناطق الجبلية,1916,Shems Fm,,,
سلمى اللومي تؤكد أن لها 'دراية بالمشاكل الموجودة وطريقة حلّها,96,Shems Fm,,,
عمر منصور: يجب إعادة الأمن للبلاد وإنهاء ظاهرة الإرهاب,72,Shems Fm,,,
حاتم بولبيار:'آن الأوان لإلغاء وزارة السياحة,139,Shems Fm,,,
فوزي اللومي:'من أولويات مهدي جمعة الولايات المهمشة,333,Shems Fm,,,
سعيد العايدي:'سأقدم إستراتيجية شاملة في الجانب الأمني',48,Shems Fm,,,
عبد الكريم الزبيدي:'القطر الواعد هي إفريقيا,151,Shems Fm,,,
